CustomerID,Recency,Frequency,Sales,RecencyCluster,FrequencyCluster,SalesCluster,TotalScore,Churn
504,119,10,2319.2799999999997,1,0,0,1,1
505,1,377,10772.55,1,0,0,1,1
506,203,6,298.34,1,0,0,1,1
507,8,7,273.8,1,0,0,1,1
509,90,353,16913.739999999994,1,0,0,1,1
510,39,6,531.62,1,0,0,1,1
511,8,10,1600.2,1,0,0,1,1
512,2,58,166121.40000000005,1,0,0,1,1
513,28,55,2431.8399999999997,1,0,0,1,1
514,0,124,9093.480000000003,1,0,0,1,1
516,14,14,11730.93,1,0,0,1,1
517,461,11,558.72,1,0,0,1,1
518,8,103,3451.1299999999987,1,0,0,1,1
519,43,36,1098.8999999999999,1,0,0,1,1
520,16,14,1226.82,1,0,0,1,1
521,96,27,1107.56,1,0,0,1,1
522,98,80,3260.0499999999993,1,0,0,1,1
523,1,103,15263.8,1,0,0,1,1
526,134,6,2188.4900000000002,1,0,0,1,1
527,425,17,796.8200000000002,1,0,0,1,1
528,173,119,5051.149999999999,1,0,0,1,1
529,92,6,551.14,1,0,0,1,1
530,189,50,9484.070000000003,1,0,0,1,1
533,7,35,1530.7899999999997,1,0,0,1,1
534,2,99,5614.990000000001,1,0,0,1,1
536,35,100,2872.4600000000005,1,0,0,1,1
537,30,4,861.89,1,0,0,1,1
538,0,258,5986.08,1,0,0,1,1
539,42,15,3043.91,1,0,0,1,1
542,395,12,707.99,1,0,0,1,1
543,65,19,982.4300000000001,1,0,0,1,1
544,30,60,2026.9800000000007,1,0,0,1,1
545,106,22,3032.09,1,0,0,1,1
546,148,16,201.57,1,0,0,1,1
550,342,11,462.14,1,0,0,1,1
553,73,53,2762.8500000000004,1,0,0,1,1
554,364,24,683.8,1,0,0,1,1
555,469,34,1384.8899999999999,1,0,0,1,1
557,0,24,1186.98,1,0,0,1,1
559,184,14,2362.65,1,0,0,1,1
560,2,13,743.1399999999999,1,0,0,1,1
561,97,60,984.0199999999999,1,0,0,1,1
566,29,196,17821.269999999993,1,0,0,1,1
567,100,24,5915.09,1,0,0,1,1
568,91,37,3191.2200000000003,1,0,0,1,1
569,210,37,3192.7600000000016,1,0,0,1,1
570,243,20,1415.18,1,0,0,1,1
571,506,19,231.82,1,0,0,1,1
573,21,33,2977.8499999999995,1,0,0,1,1
574,77,86,1367.24,1,0,0,1,1
575,20,63,4887.12,1,0,0,1,1
576,72,118,3854.289999999998,1,0,0,1,1
578,496,29,2594.4300000000003,1,0,0,1,1
580,128,8,2253.76,1,0,0,1,1
581,16,32,824.3000000000001,1,0,0,1,1
582,16,67,2434.69,1,0,0,1,1
583,21,35,1512.6500000000003,1,0,0,1,1
584,30,59,3915.2200000000003,1,0,0,1,1
586,5,91,17422.37,1,0,0,1,1
588,1,594,85270.55999999998,1,0,0,1,1
589,433,16,711.43,1,0,0,1,1
591,119,7,4279.170000000001,1,0,0,1,1
593,0,89,7630.2,1,0,0,1,1
594,7,669,83364.02999999997,1,0,0,1,1
596,13,9,205.94,1,0,0,1,1
599,30,26,1938.21,1,0,0,1,1
600,422,71,1580.84,1,0,0,1,1
601,8,258,8012.620000000003,1,0,0,1,1
602,77,46,3494.12,1,0,0,1,1
603,14,7,2879.97,1,0,0,1,1
604,8,22,2322.54,1,0,0,1,1
606,2,476,16060.54,1,0,0,1,1
608,78,25,2807.74,1,0,0,1,1
609,114,5,450.37,1,0,0,1,1
610,28,41,5059.99,1,0,0,1,1
611,9,9,187.71,1,0,0,1,1
613,29,8,3632.2999999999997,1,0,0,1,1
614,91,27,590.3199999999999,1,0,0,1,1
615,0,20,532.1,1,0,0,1,1
616,230,10,579.0700000000002,1,0,0,1,1
617,14,197,29477.920000000002,1,0,0,1,1
618,413,20,1433.2400000000002,1,0,0,1,1
620,2,36,2107.21,1,0,0,1,1
621,443,2,505.80999999999995,1,0,0,1,1
623,37,23,859.9999999999998,1,0,0,1,1
624,12,58,3038.61,1,0,0,1,1
625,72,9,731.78,1,0,0,1,1
626,91,39,1019.3600000000004,1,0,0,1,1
627,48,74,2973.61,1,0,0,1,1
628,8,28,2630.54,1,0,0,1,1
629,19,61,2277.39,1,0,0,1,1
631,485,16,1251.22,1,0,0,1,1
632,8,4,2027.5,1,0,0,1,1
633,16,13,1651.4999999999998,1,0,0,1,1
637,64,9,3259.4100000000003,1,0,0,1,1
638,27,46,1284.5600000000002,1,0,0,1,1
640,1,28,2187.6299999999997,1,0,0,1,1
642,1,225,19106.449999999997,1,0,0,1,1
643,127,902,87666.25000000001,1,0,0,1,1
644,92,26,2418.92,1,0,0,1,1
645,2,154,10013.48,1,0,0,1,1
646,115,41,1016.9999999999999,1,0,0,1,1
650,106,10,996.4599999999999,1,0,0,1,1
651,15,18,2223.5,1,0,0,1,1
653,13,131,67164.98,1,0,0,1,1
657,2,266,26957.37,1,0,0,1,1
658,2,130,9740.43,1,0,0,1,1
662,546,14,2268.32,1,0,0,1,1
663,13,298,16445.739999999998,1,0,0,1,1
664,105,13,1347.42,1,0,0,1,1
666,14,28,348.6,1,0,0,1,1
667,139,36,1554.9899999999998,1,0,0,1,1
668,147,33,-66.66000000000008,1,0,0,1,1
670,119,20,2231.2799999999997,1,0,0,1,1
671,198,20,322.57,1,0,0,1,1
672,8,55,3031.5600000000004,1,0,0,1,1
673,8,114,4426.8899999999985,1,0,0,1,1
675,14,52,1380.0499999999997,1,0,0,1,1
676,7,28,1056.04,1,0,0,1,1
678,128,27,3514.3,1,0,0,1,1
679,30,49,18292.3,1,0,0,1,1
680,43,3,264.84000000000003,1,0,0,1,1
682,237,4,4904.389999999999,1,0,0,1,1
683,16,41,1890.4299999999998,1,0,0,1,1
685,590,6,197.59,1,0,0,1,1
687,13,18,1580.9299999999998,1,0,0,1,1
688,281,16,400.44,1,0,0,1,1
691,2,24,1075.19,1,0,0,1,1
